Key,en,ko,ja
Event_30,Kyla - healing skill effect +2 for the next battle,카일라 - 다음 전투까지 회복 스킬 효과 +2,カイラ - 次の戦闘まで、回復スキルの効果 +2
Event_31,Dorothy took the goose,도로시가 거위를 챙겼다,ドロシーはガチョウを持っていった
Event_32,Sophia - Reduce the cost of cards by 1 for this stage,소피아 - 이번 스테이지 동안 사용하는 카드의 비용 1 감소,ソフィア - このステージ中、使用するカードのコストが1減少
Event_33,Party - 1 HP lose,파티 전체 - 체력 1 감소,パーティ全員 - HPが1減少
Event_34,Party - Fully restore HP,파티 전체 - 체력 전부 회복,パーティ全員 - HPが全回復
Event_35,Party - Attack +1 until the story ends,파티 전체 - 이야기가 끝날 때까지 공격력 1 증가,パーティ全員 - 物語が終わるまで攻撃力が1上昇
Event_36,Kyla – Gain all type of debuff resistance during this stage,카일라 - 이번 스테이지 동안 상태이상 저항,カイラ - このステージの間、状態異常耐性を獲得
Event_37,Leon – Gain Guard 20 during this stage,레온 - 이번 스테이지 동안 수호 20 효과 획득,レオン - このステージの間、「守護20」の効果を獲得
Event_38,Party – Gain Stun at the start of battle during this stage,파티 전체 - 이번 스테이지 동안 전투 시작 시 기절 부여,パーティ全員 - このステージ中、戦闘開始時に気絶を付与
Event_39,Kyla – Gain Blessing 2 during this stage,카일라 - 이번 스테이지 동안 축복 2 효과 획득,カイラ - このステージ中、戦闘開始時に「祝福2」の効果を獲得
Event_40,Leon – Defense +3 until the story ends,레온 - 이야기가 끝날 때까지 방어력 +3 적용,レオン - 物語が終わるまで、防御力が +3
Event_41,Leon – Guard 20 until the story ends,레온 - 이야기가 끝날 때까지 수호 20 적용,レオン - 物語が終わるまで、戦闘開始時に「守護20」の効果を獲得
Event_42,Add Card – 1001,카드 추가 - 1001,カード追加 - 1001
Event_43,Add Card – 1002,카드 추가 - 1002,カード追加 - 1002
Event_44,Add Card – 1010,카드 추가 - 1010,カード追加 - 1010
Event_45,Add Card – 2004,카드 추가 - 2004,カード追加 - 2004
Event_46,Add Card – 2011,카드 추가 - 2011,カード追加 - 2011
Event_47,Add Card – 3000,카드 추가 - 3000,カード追加 - 3000
Event_48,Add Card – 1008,카드 추가 - 1008,カード追加 - 1008
Event_49,Add Card – 1011,카드 추가 - 1011,カード追加 - 1011
Event_50,Add Card – 2006,카드 추가 - 2006,カード追加 - 2006
Event_51,Add Card – 3006,카드 추가 - 3006,カード追加 - 3006
Event_52,Add Card – 2008,카드 추가 - 2008,カード追加 - 2008
Event_53,Add Card – 2010,카드 추가 - 2010,カード追加 - 2010
Event_54,Add Card – 1005,카드 추가 - 1005,カード追加 - 1005
Event_55,Sophia – Reduce cost of Sophia’s Fire-type cards by 1 until the story ends,소피아 - 이야기가 끝날 때까지 소피아의 화염 타입 카드 비용 1 감소 ,ソフィア - 物語が終わるまで、炎タイプカードのコストが1減少
Event_56,Sophia – Reduce cost of Sophia’s Ice-type cards by 1 until the story ends,소피아 - 이야기가 끝날 때까지 소피아의 얼음 타입 카드 비용 1 감소 ,ソフィア - 物語が終わるまで、氷タイプカードのコストが1減少
Event_57,Kyla – Gain 1 Blessing at the start of each battle until the story ends,카일라 - 이야기가 끝날 때까지 매 전투 시작 시 축복 1 적용,カイラ - 物語が終わるまで、戦闘開始時に「祝福1」の効果を獲得
Event_58,Kyla – Gain 2 Grace at the start of each battle until the story ends,카일라 - 이야기가 끝날 때까지 매 전투 시작 시 은총 2 적용,カイラ - 物語が終わるまで、戦闘開始時に「恩寵2」の効果を獲得
