index,cost ,illustration,name,text,type,class,cardframe,target_type,target_num,note,flavortext,skilleffect,damage,heal,atk_buff,def_buff,discount,draw,redraw,self_damage,block,blind,stun,reduceCost,discard,duplicate,unableAttack,drawTarget,cond_type,cond_value,cond_effect_type,cond_effect_value
2004,3,illust_26,정지 명령,모든 적이 기절합니다.,5,1,frame_5,2,3,,신의 이름을 빌리는 것은 능력 있는 성직자의 특권입니다.,scifx2_electric_aura_large_violet,,,,,,,,,,,1,,,,,,,,,
2005,1,illust_1,생츄어리,모든 적에게 3의 피해를 줍니다. 1턴 동안 적이 '하단' 공격을 할 수 없습니다.,6,1,frame_6,2,3,,빛이 닿는 순간 정화의 영역이 펼쳐집니다.,fx3_impact_hit_large_yellow,3,,,,,,,,,,,,,,2,,,,,
2006,2,illust_8,응보의 빛,적에게 8의 피해를 줍니다. 이번 턴에 '힐' 타입 카드를 사용했다면 강화됩니다.,6,1,frame_6,2,1,,되돌아온 생기만큼 날카로운 빛이 쏘아올려집니다.,fx3_toon_impact_large_yellow,8,,,,,,,,,,,,,,,,isUsedCard,7,heal,3
2007,1,illust_3,성스러운 회복,아군의 체력을 6 회복합니다.,7,1,frame_7,1,1,,손끝에 맺힌 빛은 잃었던 생기를 돌려줍니다.,fanfx2_cure_large_yellow,,6,,,,,,,,,,,,,,,,,,
2008,1,illust_31,간절한 기도,아군의 체력을 6 회복합니다. '하단'일 때 강화됩니다.,7,1,frame_7,1,1,강화 시 회복량이 3 더 증가합니다.,간절한 기도는 다시 일어날 힘을 줍니다.,fx2_magic_swirl_large_yellow,,6,,,,,,,,,,,,,,,isStance,2,heal,3
2009,2,illust_17,따스한 손길,아군의 체력을 6 회복하고 해당 캐릭터의 카드를 뽑습니다.,7,1,frame_7,1,1,,성직자의 기본 소양은 따뜻한 손이라는 소문이 있습니다.,fanfx1_spellcast_D_large_yellow,,6,,,,,,,,,,,,,,1,,,,
3000,1,illust_2,서툰 일격,적에게 6의 피해를 줍니다.,8,2,frame_8,2,1,,두려움은 남아있지만 방향만은 틀리지 않았습니다.,pj1_slash_large_yellow,6,,,,,,,,,,,,,,,,,,,
3001,2,illust_24,칼날비,모든 적에게 4의 피해를 주고 일시적인 복사본을 생성합니다. 카드를 사용할 때마다 강화됩니다.,8,2,frame_8,2,3,사용할 때마다 데미지가 2 더 증가합니다.,비처럼 내리는 검격은 모든 적에게 공포의 대상입니다.,fanfx2_claw_large_red,4,,,,,,,,,,,,,1,,,isUsedParticularCard,3001,applyDamage,2
3002,1,illust_20,기선 제압,적에게 5의 피해를 주고 다음 레온 카드의 비용이 1 감소합니다.,9,2,frame_9,2,1,,주먹은 약하지만 검보다 가볍습니다.,fx1_splatter_large_orange,5,,,,,,,,,,,1!2,,,,,,,,
3003,1,illust_4,통괘한 타격,적에게 4의 피해를 주고 레온 카드를 뽑습니다.,9,2,frame_9,2,1,,빈틈을 만드는 공격은 다음 동작을 위한 길을 엽니다.,fx2_impact_shock_large_brown,4,,,,,1,,,,,,,,,,,,,,
3004,1,illust_25,충격 강타,적에게 4의 피해를 주고 기절시킵니다.,9,2,frame_9,2,1,,방패도 때로는 무기로 사용할 수 있습니다.,fx2_impact_shock_large_yellow,4,,,,,,,,,,1,,,,,,,,,
3005,1,illust_5,꿰뚫기,레온 카드를 1장 버리고 적에게 8의 피해를 줍니다.,10,2,frame_10,2,1,,멈추지 않는 돌진은 때로 무모함에 가까운 결심입니다.,fx1_impact_hit_large_blue,8,,,,,,,,,,,,1,,,,,,,
3006,2,illust_23,꿰뚫는 섬광,이번 턴에 '방어' 카드를 사용하지 않았다면 강화됩니다.,10,2,frame_10,2,1,강화 시 데미지가 6 더 증가합니다.,한 점을 노리는 공격은 적이 반응하기도 힘들 것입니다.,fx1_dash_large_white,,,,,,,,,,,,,,,,,isUnusedCard,11,damage,6
3007,1,illust_7,숨 고르기,1턴 동안 레온의 방어력이 2 증가하고 사용한 레온 카드 1장을 가져옵니다.,11,2,frame_11,0,0,,단 한 번의 호흡으로 다음 움직임을 준비합니다.,fanfx1_spellcast_B_large_blue,,,,2!1!2,,,1,,,,,,,,,,,,,
3008,1,illust_14,중무장,1턴 동안 레온의 방어력이 2 증가하고 아군을 보호합니다. '하단'일 때 강화됩니다.,11,2,frame_11,1,1,강화 시 방어력이 4 더 증가합니다.,단단하게 움츠린 몸은 동료를 지켜냅니다.,fanfx1_spellcast_B_large_blue,,,,2!1!2,,,,,1,,,,,,,,isStance,2,def_buff,4!1!2
3009,2,illust_28,견고한 기세,1턴 동안 레온의 방어력이 4 증가하고 아군의 공격력이 3 증가합니다.,11,2,frame_11,1,1,,아군을 고무시키는 것도 선봉장의 역할입니다.,fanfx1_power_up_large_yellow,,,3!1!4,4!1!2,,,,,,,,,,,,,,,,
4000,1,illust_32,불안정한 혼합물,소피아의 체력이 2 감소하고 적에게 5의 피해를 줍니다.,0,0,frame_0,2,1,,출처를 알 수 없는 실험물은 소피아의 힘으로도 통제하기 힘듭니다.,expfx1_stylized_explosion_A_large_red,5,,,,,,,2,,,,,,,,,,,,
4001,1,illust_33,남겨진 마음,아군의 체력을 3 회복하고 1턴 동안 해당 캐릭터의 공격력이 1 증가합니다.,4,1,frame_4,1,1,,간절한 마음은 시간이 지나도 연해지지 않는다고 합니다.,fanfx1_spellcast_B_large_green,,3,1!1!4,,,,,,,,,,,,,,,,,
