index,target_type,target_num,target_front,target_center,target_back,arg_effect1,arg1,arg_target1,arg_effect2,arg2,arg_target2,use_condition,use_condition_value,value_modifier,modifier_status,modifier_value,modifier_condition_value,special_logic,effect,soundIndexes,soundDelays
482,1,1,1,1,1,Damage,2,SkillTarget,Combo,1,Self,None,0,None,None,0,0,ComboStrike,,,
491,1,1,1,1,1,Damage,5,SkillTarget,Attack,-1,SkillTarget,None,0,None,None,0,0,None,,,
492,1,3,1,1,1,Damage,2,SkillTarget,TargetMark,1,SkillTarget,None,0,None,None,0,0,ApplyTargetMarkWithoutTrigger,,,
501,1,1,1,1,1,Damage,8,SkillTarget,Attack,-1,SkillTarget,None,0,None,None,0,0,None,,,
502,1,2,1,1,1,Damage,6,SkillTarget,Defense,1,Self,None,0,None,None,0,0,None,,,
503,1,3,1,1,1,Damage,5,SkillTarget,Stun,3,SkillTarget,None,0,None,None,0,0,None,,,
511,1,3,1,1,1,Damage,7,SkillTarget,Attack,-1,SkillTarget,None,0,None,None,0,0,None,,,
512,1,1,1,1,1,Damage,10,SkillTarget,Defense,-2,SkillTarget,None,0,None,None,0,0,None,,,
513,1,2,1,1,1,Damage,8,SkillTarget,Stun,3,SkillTarget,None,0,None,None,0,0,None,,,
514,0,1,0,0,0,Defense,2,Self,Attack,1,Self,None,0,None,None,0,0,None,,,
515,1,3,1,1,1,Damage,12,SkillTarget,Stun,3,SkillTarget,None,0,None,None,0,0,None,,,
