Key,en,ko,ja
Event_Desc_10002,"During their journey, Dorothy discovered an <gr_B>old book</gr_B> inside the ruins of an ancient building.\nThe cover was covered with <gr_P>dust and mold</gr_P>, but as she turned the pages, <wave_gr_P>faint letters</wave_gr_P> began to appear.\nHowever, the sentences seemed deliberately twisted, almost <wave_gr_P>mesmerizing</wave_gr_P> anyone who tried to read them.\nDorothy called her companions with a curious expression.\n\n""This is a language I've never seen before. Can anyone read it?""\n\n<gr_O>Sophia and Kyla</gr_O>, who were exploring different parts of the building, approached with interest.","여행 도중, 오래된 폐허의 건물안에서 도로시가\n<gr_B>낡은 책 한 권</gr_B>을 발견했다.\n표지는 <gr_P>먼지와 곰팡이</gr_P>로 뒤덮여 있었지만,\n책장을 넘기자 <wave_gr_P>희미하게 남은 글자</wave_gr_P>들이 모습을 드러냈다.\n그러나 문장들은 마치 누군가 일부러 뒤틀어 기록한 듯,\n읽는 이의 <wave_gr_P>눈을 현혹하는 듯</wave_gr_P> 보였다.\n도로시는 흥미로운 표정으로 동료들을 불렀다.\n\n“이건 처음 보는 언어인데,\n혹시 읽으실 수 있는 분 있나요?”\n\n건물의 이곳 저곳을 살펴보던 <gr_O>소피아와 카일라가</gr_O>\n <gr_O>관심</gr_O>을 가지며 다가왔다.",旅の途中、ドロシーは古い廃墟の建物の中で<gr_B>古びた本</gr_B>を見つけた。\n表紙は<gr_P>埃とカビ</gr_P>に覆われていたが、ページをめくると<wave_gr_P>かすかに文字が現れた</wave_gr_P>。\nしかし、文章はまるで誰かがわざとねじって記したかのようで、読む者の<wave_gr_P>目を惑わせる</wave_gr_P>ようだった。\nドロシーは興味深そうな表情で仲間を呼んだ。\n\n「これは初めて見る言語だけど、読める方はいませんか？」\n\n建物のあちこちを調べていた<gr_O>ソフィアとカイラも興味</gr_O>を持って近づいてきた。
Event_OptionA_10002,Hand the book to Sophia,소피아에게 책을 넘겨준다,ソフィアに本を渡す
Event_ResultA1_10002,"Sophia summoned a <gr_Y>small light</gr_Y> at her fingertips and began reading the book.\nAfter a moment, she murmured with a slight smile.\n\n""The arrangement of these symbols and words… it's like an ancient grimoire...""\n""If studied properly, it could be useful.""\n\nHer eyes sparkled with the <gr_SB>curiosity</gr_SB> of a researcher.","소피아는 손끝에 <gr_Y>작은 빛</gr_Y>을 불러 책을 읽기 시작했다.\n잠시 후, 입꼬리를 올리며 중얼거렸다.\n\n“이 문양과 어휘의 배열… 고대의 마법서 같은데...”\n“제대로 연구한다면 쓸모가 있겠어.”\n\n그녀의 눈빛은 연구자의 <gr_SB>호기심으로 반짝였다</gr_SB>.",ソフィアは指先に<gr_Y>小さな光</gr_Y>を呼び、本を読み始めた。\nしばらくして、口元に微笑みを浮かべながらつぶやいた。\n\n「この文様と言葉の並び…まるで古代の魔法書みたい…」\n「ちゃんと研究すれば役に立つかもしれない」\n\n彼女の目は研究者の<gr_SB>好奇心</gr_SB>で輝いていた。
Event_ResultA2_10002,""" """,""" """,""" """
Event_OptionB_10002,Hand the book to Kyla,카일라에게 책을 넘겨준다,カイラに本を渡す
Event_ResultB1_10002,"Kyla carefully held her cross necklace and looked into the book.\nSoon, she solemnly nodded and spoke.\n\n""This seems like an ancient passage from the Bible.""\n""The words are different from modern ones, so it's not exact,\nbut it preaches faith and atonement, warning against worshiping false gods.""\n\nShe closed the book and quietly <gr_G>closed her eyes</gr_G>.","카일라는 조심스럽게 십자가 목걸이를 쥐고 책을 들여다보았다.\n곧 엄숙하게 고개를 끄덕이며 말했다.\n\n“이건 성서의 오래된 구절 같아요.”\n“지금의 단어와 달라서 정확하지는 않지만 믿음과 속죄를 설파하며,\n잘못된 신을 믿지 말도록 경고를 하고 있네요.”\n\n그녀는 <gr_G>책을 닫으며 조용히 눈을 감았다</gr_G>.",カイラは慎重に十字架のネックレスを握り、本を覗き込んだ。\nやがて厳かにうなずき、口を開いた。\n\n「これは聖書の古い節のようです」\n「今の言葉とは違うので正確ではありませんが、信仰と贖いを説き、\n間違った神を信じないよう警告しています」\n\n彼女は本を閉じ、<gr_G>静かに目を閉じた</gr_G>。
Event_ResultB2_10002,""" """,""" """,""" """
Event_Title_10003,Merry-Go-Round,메리 고 라운드,メリーゴーラウンド
Event_Desc_10003,"During their journey, they suddenly heard <gr_RBW>unfamiliar music</gr_RBW> echoing along a dark and silent road.\nAs a soft, music box–like <gr_RBW>melody</gr_RBW> drifted through the air,\nthe companions stopped and listened.\nFollowing the <gr_O>gentle tune</gr_O>, they came upon a carousel in a <gr_B>desolate space</gr_B> where nothing should have been.\n\nStanding alone in the strange surroundings,\nits faded horses <wave_gr_RBW>spun in circles</wave_gr_RBW> beneath ornate decorations.\nLeon glared at the carousel suspiciously.","여정을 이어가던 도중,\n어둡고 적막한 길 위에서 갑자기 <gr_RBW>낯선 음악 소리</gr_RBW>를 들었다.\n부드러운 <gr_RBW>오르골 같은 선율</gr_RBW>이 바람을 타고 스며들자,\n동료들은 발걸음을 멈추고 귀를 기울였다.\n<gr_O>잔잔한 음악</gr_O>을 따라가자,\n아무것도 없을 것 같은 <gr_B>황량한 공간</gr_B>에 회전목마가 나타났다.\n\n어색한 공간에 덩그러니,\n화려한 장식과 색이 바랜 말들이  <wave_gr_RBW>빙글빙글 돌고 있었다. </wave_gr_RBW>\n레온은 의심하는 눈빛으로 회전목마를 노려보았다.",旅を続けている途中、暗く静まり返った道の上で突然、<gr_RBW>聞き慣れない音楽</gr_RBW>が聞こえてきた。\nオルゴールのような<gr_RBW>柔らかな旋律</gr_RBW>が風に乗って漂うと、\n仲間たちは足を止め、耳を傾けた。\n<gr_O>穏やかな音楽</gr_O>をたどっていくと、何もないはずの<gr_B>荒涼とした空間</gr_B>にメリーゴーラウンドが現れた。\n\n場違いなその場所で、\n華やかな装飾の下、色あせた馬たちが<wave_gr_RBW>くるくると回っていた</wave_gr_RBW>。\nレオンは疑わしげな目でメリーゴーラウンドを見つめた。
Event_OptionA_10003,Everyone gets on the carousel together,다 같이 회전목마를 탄다,皆でメリーゴーラウンドに乗る
Event_ResultA1_10003,"Unable to resist Sophia’s constant pleading, Leon gave up and joined the others on the carousel.\nYet, even as they rode, his wary eyes remained fixed on the glittering horses.\nThe gentle music filled the air, soothing both body and mind.\nAs if being drawn into a strange illusion, they felt the carousel slowly come to a stop.","계속 보채는 소피아를 이기지 못한 레온이 설득 당해 다같이 회전목마를 탔다.\n하지만 여전히 레온은 의심하는 눈빛으로 반짝이는 말을 바라보았다.\n음악이 부드럽게 울려 퍼지며, 몸과 마음이 편안해진다.\n<gr_RBW>기묘한 환상 속으로 빨려 들어가는 듯한 기분</gr_RBW>을 느끼며, 회전 목마가 천천히 멈추었다.",しつこくせがむソフィアに根負けしたレオンは、皆と一緒にメリーゴーラウンドに乗った。\nそれでも彼は疑わしげな目で輝く馬を見つめ続けていた。\n優しい音楽が響き渡り、体も心も穏やかになっていく。\n<gr_RBW>奇妙な幻</gr_RBW>に吸い込まれるような感覚の中で、メリーゴーラウンドはゆっくりと止まった。
Event_ResultA2_10003,"Unable to resist Sophia’s insistence, Leon finally gave in and joined everyone on the carousel.\nYet his suspicious gaze never left the glittering horses.\nThe carousel began to spin faster and faster.\nSuddenly, the music warped into a <gr_P>screeching wail</gr_P>, and with a loud metallic shriek, the entire carousel collapsed.","계속 보채는 소피아를 이기지 못한 레온이 설득 당해 다같이 회전목마를 탔다.\n하지만 여전히 레온은 의심하는 눈빛으로 반짝이는 말을 바라보았다.\n음악이 부드럽게 울려 퍼지며, 몸과 마음이 편안해진다.\n<gr_RBW>기묘한 환상 속으로 빨려 들어가는 듯한 기분</gr_RBW>을 느끼며, 회전 목마가 천천히 멈추었다.",しつこくせがむソフィアに押し切られたレオンは、皆と一緒にメリーゴーラウンドに乗った。\nそれでも彼は疑いの目で輝く馬を見つめていた。\nメリーゴーラウンドはどんどん速度を上げていく。\n突然、音楽が<gr_P>歪み悲鳴</gr_P>のような音に変わり、全体が<shake_gr_B>ギィィッ</shake_gr_B>という金属音を立てて\n崩れ落ちた。
Event_OptionB_10003,Leon steps in to stop others,레온이 막아선다,レオンが止めに入る
Event_ResultB1_10003,"Leon crossed his arms and shook his head.\n\n""This feels like <gr_P>a trap</gr_P>. A carousel in the middle of an empty field? That’s suspicious, don’t you think?""\n\nKyla, who had shown great interest in the carousel, finally gave up and turned back at her companions’ insistence.\n<gr_RBW>The music</gr_RBW> gradually faded until it could no longer be heard.","레온이 팔짱을 끼며 고개를 저었다.\n\n“이건 <gr_P>함정 냄새</gr_P>가 나. 아무것도 없는 들판에 회전목마라니, 이상하잖아?”\n\n회전목마에 큰 흥미를 보이던 카일라는 결국 동료들의 만류에 발걸음을 돌렸다.\n<gr_RBW>음악</gr_RBW>은 점점 희미해지며, 이내 들리지 않게 되었다.",レオンは腕を組み、首を横に振った。\n\n「これは<gr_P>嫌な予感</gr_P>がする。何もない野原にメリーゴーラウンドなんて、おかしいだろ？」\n\nメリーゴーラウンドに強い興味を示していたカイラも、仲間たちに止められてついに足を引いた。\n<gr_RBW>音楽</gr_RBW>は次第に薄れ、やがて聞こえなくなった。
Event_ResultB2_10003,""" """,""" """,""" """
Event_Title_10004,The Naked Man,벗은 사람,裸の男
Event_Desc_10004,"From afar, the sound of <shake_gr_P>murmuring crowds</shake_gr_P> began to reach them.\nAs the noise grew closer,\nthe party spotted a long procession.\n\nAt its center was a figure wearing a <gr_Y>splendid crown adorned with dozens of jewels</gr_Y>…\nyet, to their surprise, the person was confidently walking around in nothing but <gr_Y>underwear</gr_Y>.\n\nKyla quickly covered Dorothy’s eyes,\nand Sophia’s face flushed red.","멀리서 <shake_gr_P>군중의 웅성거림</shake_gr_P>이 들려오기 시작했다.\n소리가 점점 가까워지자,\n일행은 길게 늘어선 행렬을 발견했다.\n\n그 중심에는 <gr_Y>보석이 수십 개 박힌 멋진 왕관</gr_Y>을\n쓴 인물이 있었지만…\n<gr_Y>속옷만 걸친 채</gr_Y> 당당하게 걸어가는 모습은 예상 밖이었다.\n\n카일라는 도로시의 눈을 급히 가렸고,\n소피아는 얼굴을 붉혔다.",遠くから<shake_gr_P>群衆のざわめき</shake_gr_P>が聞こえてきた。\n音が次第に近づいてくると、\n一行は長く連なった行列を見つけた。\n\nその中心には、<gr_Y>宝石がいくつも散りばめられた立派な王冠</gr_Y>をかぶった人物がいたが…\n驚いたことに、その人物は<gr_Y>下着姿</gr_Y>のまま堂々と歩いていた。\n\nカイラは慌ててドロシーの目を覆い、\nソフィアは顔を赤らめた。
Event_OptionA_10004,Sophia asks a passerby about the identity of the naked person,소피아가 행인에게 벗고 있는 사람의 정체를 묻는다,ソフィアは通行人に裸の人の正体を尋ねる
Event_ResultA1_10004,"When Sophia cautiously spoke up,\nthe crowned figure blushed at the words “You’re naked” and began to <wave_gr_R>lose their temper</wave_gr_R>.\n\nThe atmosphere suddenly turned tense,\nand a <gr_R>commotion</gr_R> broke out among the crowd.\nThe companions hurriedly pushed their way through the crowd,\nonly to be driven away as if they were fleeing.","소피아가 조심스레 말을 걸자,\n“벗고 있다”는 말에 왕관을 쓴 인물이 얼굴을 붉히며 <wave_gr_R>화를 내기 시작했다</wave_gr_R>.\n\n순간 분위기가 험악하게 변하고,\n군중 사이에서 <gr_R>소란</gr_R>이 일어난다.\n동료들은 급하게 군중 사이를 뚫고 나와 도망치듯 쫒겨났다.",ソフィアが慎重に声をかけると、\n「裸だ」と言われた王冠をかぶった人物は顔を赤らめ、<wave_gr_R>怒り始めた</wave_gr_R>。\n\n瞬く間に雰囲気は険悪になり、\n群衆の中で<gr_R>騒ぎ</gr_R>が起こった。\n仲間たちは急いで群衆をかき分け、\n逃げるように追い出された。
Event_ResultA2_10004,""" """,""" """,""" """
Event_OptionB_10004,"Quietly move on, not wanting to cause any trouble",소란을 피우고 싶지 않으니 조용히 지나간다,騒ぎを起こしたくないので静かに通り過ぎる
Event_ResultB1_10004,"The party did not slow down, quietly avoiding the procession as they passed.\nSophia’s curiosity was eating at her,\nbut she did not want to cause a sudden disturbance.\n\nOnly after the <wave_gr_Y>murmuring of the crowd</wave_gr_Y> had faded into the distance\ndid Leon finally release the tension in the hand that had been gripping his shield.\nPerhaps from holding it for so long, <weakshake_gr_B>a faint numbness</weakshake_gr_B> lingered in his fingertips.","일행은 속도를 늦추지 않고, 조용히 행렬을 피해 지나갔다.\n소피아는 궁금증에 입이 근질근질했지만, 갑작스러운 소란을 일으키고 싶지 않았다.\n\n<wave_gr_Y>군중의 웅성거림</wave_gr_Y>이 멀어지고 나서야,\n레온은 방패를 쥔 손에 들어갔던 힘을 풀 수 있었다.\n오랫동안 쥐고 있었던 탓일까, <weakshake_gr_B>손끝에 은근한 저림</weakshake_gr_B>이 남아 있었다.",速度を落とさず、静かに行列を避けて通り過ぎた。\nソフィアは好奇心で口がむずむずしていたが、\n突然の騒ぎを起こしたくはなかった。\n\n<wave_gr_Y>群衆のざわめき</wave_gr_Y>が遠くへ消えてからようやく、\nレオンは盾を握っていた手の力を抜くことができた。\n長い間握っていたせいか、<weakshake_gr_B>指先に微かな痺れ</weakshake_gr_B>が残っていた。
Event_ResultB2_10004,""" """,""" """,""" """
Event_Title_10005,Room of the mirror,거울의 방,鏡の部屋
Event_Desc_10005,"A wide open space could be seen in the distance.\nAs they approached, a <gr_SB>strangely sparkling</gr_SB> form appeared, revealing a <gr_B>square-shaped structure.</gr_B>\n\nCurious, the party entered the structure, and passing through a corridor reflecting light, they came into a room filled with <gr_SB>mirrors</gr_SB> on all sides.\nEach mirror reflected the party, but their expressions differed from reality.\nSmiling faces, crying faces, angry faces… it was unsettling, as if other possibilities were being reflected.\n\nDorothy instinctively <shake_gr_R>shrank in anxiety</shake_gr_R>, Leon <shake_gr_BK>gripped his sword tensely</shake_gr_BK>, and Kyla prepared to pray, <gr_O>breathing quietly.</gr_O>","넓은 공터가 멀리서 보였다.\n더 가까이 다가가니 이상하게 <gr_SB>반짝이는 형체</gr_SB>가 보였고 사각형 형태의 <gr_B>구조물</gr_B>이 나타났다.\n\n일행은 호기심을 가지며 구조물에 들어섰고, 빛이 반사되는 통로를 지나자 사방이  <gr_SB>거울 </gr_SB>로 가득한 방이 나타났다.\n거울마다 일행의 모습이 비쳤지만, 그 표정은 현실과 달랐다.\n웃는 얼굴, 울고 있는 얼굴, 화내는 얼굴... 마치 다른 가능성이 반영된 듯 불길했다.\n\n도로시는 본능적으로 <shake_gr_R>불안</shake_gr_R>에 몸을 움츠렸고,\n레온은 검을 움켜쥐며 <shake_gr_BK>긴장</shake_gr_BK>했다.\n카일라는 기도를 준비하며 낮게 <gr_O>숨을 고르고</gr_O> 있었다.",遠くに広い空き地が見えた。\n近づくと、奇妙に<gr_SB>輝く形</gr_SB>が見え、四角い<gr_B>構造物</gr_B>が現れた。\n\n一行は好奇心を抱き構造物に入ると、光が反射する通路を通り抜け、四方が<gr_SB>鏡</gr_SB>で満たされた部屋にたどり着いた。\n鏡ごとに一行の姿が映ったが、その表情は現実とは異なっていた。\n笑っている顔、泣いている顔、怒っている顔…まるで別の可能性が反映されているかのようで、不気味だった。\n\nドロシーは本能的に<shake_gr_R>不安</shake_gr_R>で身を縮め、レオンは剣を握り<shake_gr_BK>緊張</shake_gr_BK>した。\nカイラは祈りの準備をしながら<gr_O>静かに呼吸を整えて</gr_O>いた。
Event_OptionA_10005,Leon smashes the mirrors,레온이 거울을 부순다,レオンが鏡を壊す
Event_ResultA1_10005,"Unable to endure the <gr_SB>ominous visions</gr_SB>, Leon swung his sword, <shake_gr_SB>shattering the mirrors</shake_gr_SB> into pieces.\nAs the mirrors broke, <weakshake_gr_SB>the reflections of the party</weakshake_gr_SB> in each shard screamed simultaneously.\nThe sound seeped into their ears, striking their chests and heads with sharp pain.\nShards flew everywhere, grazing their skin and leaving <gr_R>small cuts</gr_R> on each of them.\n\nLeon gritted his teeth and sheathed his sword, but all that remained were the broken mirrors and an ominous silence.","레온은 <gr_SB>불길한 환영</gr_SB>을 참지 못하고 검을 휘둘러 <shake_gr_SB>거울을 산산조각 낸다</shake_gr_SB>.\n거울이 부서지자, 파편마다 비쳐 있던 <weakshake_gr_SB>일행의 모습이 동시에 비명</weakshake_gr_SB>을 질렀다.\n그 소리는 귀에도 스며들며, 날카로운 고통으로 가슴과 머리를 울렸다.\n파편이 사방에 튀며 스치듯 살을 베어, 일행은 저마다 <gr_R>작은 상처</gr_R>를 입게 되었다.\n\n레온은 이를 악 물며 검을 거둬 들였지만, 남은 것은 부서진 거울과 불길한 침묵뿐이었다.",レオンは<gr_SB>不吉な幻影</gr_SB>に耐えられず、剣を振って<shake_gr_SB>鏡を粉々に砕いた</shake_gr_SB>。\n鏡が壊れると、破片に映っていた<weakshake_gr_SB>一行の姿が同時に悲鳴</weakshake_gr_SB>を上げた。\nその音は耳に染み入り、鋭い痛みとなって胸と頭を打った。\n破片が四方に飛び散り、肌をかすめ、肌を切り裂き、一行はそれぞれ<gr_R>小さな傷</gr_R>を負った。\n\nレオンは歯を食いしばり剣を収めたが、残ったのは壊れた鏡と不吉な沈黙だけだった。
Event_ResultA2_10005,""" """,""" """,""" """
Event_OptionB_10005,Kyla purifies the mirrors through prayer,카일라가 기도로 거울을 정화한다,カイラが祈りで鏡を浄化する
Event_ResultB1_10005,"Kyla attempted to purify the corruption within the mirrors.\nSuddenly, the figures inside the mirrors began to mimic her prayers in unison,\nand dozens of <gr_P>'fake Kylas'</gr_P> sneered and murmured with mocking smiles,\na sight that was utterly blasphemous.\nAs the dissonance filled the room, <weakshake_gr_B>cracks slowly formed</weakshake_gr_B> in the largest mirror,\nwhich soon <gr_B>shattered into pieces</gr_B>.\n\nThe party exchanged glances and hurriedly moved on.","카일라는 거울속 오염을 정화하고자 하였다.\n그러자 갑자기 거울 속 형체들이 동시에 기도를 따라하기 시작했고,\n수십 개의 <gr_P>‘가짜 카일라’</gr_P>들이 입가에 비웃음을 띠며\n중얼거리는 모습은 모독스럽기 짝이 없었다.\n불협화음이 방안을 가득 채우자,\n가장 큰 거울에서 <weakshake_gr_B>천천히 균열</weakshake_gr_B>이 생기더니 이내 <gr_B>산산이 부서졌다</gr_B>.\n\n일행은 서로 눈빛을 주고 받으며, 서둘러 발걸음을 옮겼다.",カイラは鏡の中の穢れを浄化しようとした。\nすると突然、鏡の中の姿が一斉に祈りを真似し始め、\n何十体もの<gr_P>「偽のカイラ」</gr_P>が嘲笑を浮かべながらつぶやく様子は、\nこの上なく冒涜的な光景だった。\n不協和音が部屋を満たすと、最も大きな鏡に<weakshake_gr_B>ゆっくりと亀裂が入り</weakshake_gr_B>、\nやがて<gr_B>粉々に砕け散った</gr_B>。\n\n一行は互いに目を合わせ、急いでその場を後にした。
Event_ResultB2_10005,""" """,""" """,""" """
Event_Title_10006,A Promise Left Unfulfilled,지키지 못한 약속,守られなかった約束
Event_Desc_10006,"At the edge of the forest path,\na small village bearing traces of human habitation came into view.\n\nThe ruined houses looked as though they had endured the passage of many years,\nyet strangely, not a single weed had grown along the streets.\n\nIn the village square,\nan old silver <gr_SB>flute</gr_SB> lay atop a stone fountain.\nBeneath it, a faint, weathered inscription had been carved:\n<gr_BK>""In a village that has broken its promise,\nthe sound of the flute shall never be heard again.""</gr_BK>\n\nThere were no people in the village,\nno animals,\nnot even a single ant remained.\nAs if someone had taken them all away.","숲길 끝자락. \n사람이 살았던 흔적이 남은 작은 마을이 모습을 드러냈다.\n\n무너진 집들은 오랜 세월을 견딘 듯 낡아 있었지만,\n이상하게도 거리에는 잡초 하나 자라지 않았다.\n\n마을의 중앙 광장.\n돌로 만든 분수 위에 낡은 은빛 <gr_SB>피리</gr_SB> 하나가 놓여 있었다.\n그 아래에는 희미하게 닳은 글귀가 새겨져 있었다.\n<gr_BK>""약속을 저버린 마을에는, 더 이상 피리소리가 울리지 않는다.""</gr_BK>\n\n마을에는 사람도,\n짐승도,\n개미 한 마리조차 남아 있지 않았다.\n마치 누군가가 모두 데려가 버린 것처럼.",森の小道の先。\n人が暮らしていた痕跡を残す、小さな村が姿を現した。\n\n崩れた家々は、長い年月に耐えてきたかのように古びていたが、\n不思議なことに、通りには雑草一本生えていなかった。\n\n村の中央広場。\n石造りの噴水の上に、古びた銀色の<gr_SB>笛</gr_SB>が一本置かれていた。\nその下には、かすれて消えかけた文字が刻まれていた。\n<gr_BK>「約束を裏切った村には、もう二度と笛の音は響かない。」</gr_BK>\n\n村には人も、\n獣も、\n蟻一匹さえ残っていなかった。\nまるで誰かが、すべて連れ去ってしまったかのように。
Event_OptionA_10006,Sophia examined the flute with eyes full of curiosity.,호기심 가득한 눈으로 소피아가 피리를 조사한다.,好奇心に満ちた目で、ソフィアは笛を調べる
