Key,en,ja,ko
Type_Text_42_04,"Attack +{1} until end of next enemy turn
Ignore the first Formation reduction next player turn","次の敵ターン終了まで攻撃力+{1}
次のプレイヤーターンの最初の「隊列」減少を無効化","다음 적 턴 종료까지 공격력 +{1}
다음 플레이어 턴에 처음 발생하는 대열 감소 무시"
Type_Text_50_01,"Max {0}
Card Effects -{1}%
Become Intimidated at {2} or more","最大{0}
カード効果 -{1}%
{2}以上で「萎縮」付与","최대 {0}
카드 효과 -{1}%
{2} 이상일 때 '위축' 부여"
Type_Text_50_02,"Card Effects -{0}%
Removed when Doubt is below {1}","カード効果 -{0}%
「疑念」が {1}未満で解除","카드 효과 -{0}%
'의심'이 {1} 미만일 때 제거"
Type_Text_50_03,Doubt Resolved: {0},「疑念」を解消した回数 {0}回,의심을 해소한 횟수 {0}회
Type_Text_33_04,Deal {0} damage to all allies,味方全体にダメージ {0},아군 전체에게 피해 {0}
Type_Text_33_05,Deal {0} damage to all allies,味方全体にダメージ {0},플레이어 전체에게 피해 {0}
Type_Text_33_06,Deal {0} damage to all allies,味方全体にダメージ {0},플레이어 전체에게 피해 {0}
Type_Text_33_07,"All Elua Attack +{0}, Defense +{1}",すべてのエルアの攻撃力 +{0}、防御力 +{1},"모든 엘루아의 공격력 +{0}, 방어력 +{1}"
Type_Text_33_08,All Elua Defense +{0},すべてのエルアの防御力 +{0},모든 엘루아의 방어력 +{0}
Type_Text_33_09,"Attack +{0}, Defense +{1}",攻撃力 +{0}、防御力 +{1},"공격력 +{0}, 방어력 +{1}"
Type_Text_33_10,Restore {0} HP to all Elua,すべてのエルアのHP {0}回復,모든 엘루아의 체력 {0} 회복
Type_Text_33_11,Restore {0} HP to the Elua with the lowest HP,HPが最も低いエルアのHP {0}回復,체력이 가장 낮은 엘루아의 체력 {0} 회복
Type_Text_33_12,Restore {0} HP and Defense +{1},HP {0}回復、防御力 +{1},체력 {0} 회복하고 방어력 +{1}
Type_Text_25_01,"when Decipher succeeds -{0}
Further reduced by Activation cost reduction (Max {1})
 Enemy turn start: Decreases by 1 per {2} Burn damage (Max {3})","解読成功時 -{0}
活性で減少したコスト分さらに減少（最大{1}）
敵ターン開始時、火傷ダメージ {2}ごとに -1（最大{3}）","판독 성공 시 -{0}
활성으로 감소한 비용만큼 감소(카드당 최대 {1})
적 턴 시작 시 화상 피해 {2}당 -1(최대 {3})"
Type_Text_25_02,"On successful Decipher, changes to a new Rune",解読成功時、新たなルーンに変化,판독 성공 시 새로운 룬으로 변경
Type_Text_25_03,"At 0, use Rune Storm
On enemy turn end -1 (excluding the turn Rune Storm is used)","0になるとルーン嵐を使用
敵ターン終了時 -1（ルーン嵐を使用したターンを除く）","0이 되면 룬 폭풍 사용
적 턴 종료 시 -1(룬 폭풍을 사용한 턴 제외)"
Type_Text_25_04,"After Deciphering {0} or more,weaken the next Rune Storm with the most deciphered type
Fire: Damage -{1}, Ice: Remove {2} Debuffs
Nature: Next turn Sophia Activation +{3},
Draw {4} additional cards","解読 {0}回以上で
最も多く解読したタイプで次のルーン嵐を弱化
火炎：ダメージ-{1}、氷：デバフを{2}個解除
自然：次のターン、ソフィアの活性+{3}、
カードを{4}枚追加ドロー","{0}회 이상 판독 시 가장 많은 타입으로 다음 룬 폭풍 약화
화염: 피해 -{1}, 얼음: 상태이상 {2}개 제거
자연: 다음 턴 소피아의 활성 {3} 증가,
카드 {4}장 추가 드로우"
Type_Text_35_01,"Using Prayer/Baptism on enemies: Devotion +1
Using Taboo on allies: Obsession +1","祈り/洗礼を敵に適用：献身 +1
禁忌を味方に適用：執着 +1","기도/세례를 적에게 사용: 헌신 +1
금기를 아군에게 사용: 집착 +1"
Type_Text_35_02,"Attack Damage Taken -{0}%
Reduced by Balance and Obsession,
increased by Devotion","受ける攻撃ダメージ -{0}%
均衡/執着で減少
献身で増加","받는 공격 피해 -{0}%
균형/집착으로 감소,
헌신으로 증가"
Type_Text_35_03,"When higher than Obsession at player turn end
Weakens the next skill at enemy turn start
Restore Luciel's HP and Divine Veil","プレイヤーターン終了時、執着を上回る場合発動
敵ターン開始時、次のスキルを弱化
ルシエルのHPと神聖ヴェールを回復","플레이어 턴 종료 시 집착보다 높은 경우
적 턴 시작 시 다음 스킬 약화
루시엘의 체력과 신성 장막 회복"
Type_Text_35_04,"When higher than Devotion at player turn end
Strengthens the next skill and reduces Divine Veil at enemy turn start
If the strengthened skill is a healing/buff skill,
Deal damage equal to the value to all players","プレイヤーターン終了時、献身を上回る場合発動
敵ターン開始時、次のスキルを強化し神聖ヴェール減少
強化されたスキルが回復/バフスキルの場合、
プレイヤー全体に数値分のダメージ","플레이어 턴 종료 시 헌신보다 높은 경우
적 턴 시작 시 다음 스킬 강화, 신성 장막 감소
강화 스킬이 회복/버프 스킬이면,
플레이어 전체에게 수치만큼 피해"
Type_Text_35_05,"Reduces Divine Veil at enemy turn start
At {0} or more, weaken the next skill, then remove","敵ターン開始時、神聖ヴェール減少
{0}以上で次のスキルを弱化し、解除","적 턴 시작 시 신성 장막 감소
{0} 이상일 때 다음 스킬 약화 후 제거"
Type_Text_45_01,"Increases by the card's Cost when same type is used (Max 2)
Counter an enemy attack of the same type
For different types, spend 2 Preparation to counter
Remove at enemy turn end","同じタイプのカード使用時、コスト分増加（最大2）
同じタイプの敵の攻撃に対処
異なるタイプの場合、備えを2消費して対処
敵ターン終了時に解除","같은 타입의 카드 사용 시 코스트만큼 증가(최대 2)
동일한 타입의 적 공격에 대응
동일하지 않은 타입일 때 대비를 2 소모하여 대응
적 턴 종료 시 제거"
Type_Text_45_02,"Min 0, Max {0}
Below {0}: Counter failure >> Use skill, then +1
At {0}: Counter failure >> Strengthen skill, then change to {1}
Phase 1 counter success
Phase 2 Opening recovery success >> -1","最小0、最大{0}
{0}未満：対処失敗時、スキル使用後+1
{0}の場合：対処失敗時、スキル強化後{1}に変化
1フェーズ対処成功 / 2フェーズ隙の回収成功時-1","최소 0, 최대 {0}
{0} 미만: 대응 실패 시 스킬 사용 후 +1
{0}이면 대응 실패 시 스킬 강화 후 {1}로 변경
1페이즈 대응 성공 / 2페이즈 빈틈 회수 성공 시 -1"
Type_Text_45_03,"Until the end of the next player turn,
remove on attacked by the same type
On success, Mastery -{0}
On failure, Mastery +{1}
","次のプレイヤーターン終了まで
同じタイプのスキルで攻撃すると解除
成功時、熟練-{0}
失敗時、熟練+{1}","다음 플레이어 턴 종료 전까지,
같은 타입의 스킬로 공격 시 제거
성공 시 숙련 -{0}
실패 시 숙련 +{1}"
Type_Text_51_01,Attack Damage Taken -{0}%,受ける攻撃ダメージ -{0}%,받는 공격 피해 -{0}%
Type_Text_51_02,"On card use, -1
Effect of that card -{0}%","カード使用時 -1
カードの効果 -{0}%","카드를 사용 시 -1,
카드의 효과 -{0}%"
Type_Text_51_03,"If Doubt remains at player turn end
Great Oz gains Authority","プレイヤーターン終了時、疑念が残っている場合
偉大なるオズが権威を獲得","플레이어 턴 종료 시 의심이 남아 있을 경우
위대한 오즈의 권위 증가"
Type_Text_51_04,"Doubt Resolved
Weakens Phantom Veil and reduces Authority at the start of Phase 2","疑念解消済み
幻影ヴェールを弱化し、
2フェーズ開始時に権威を減少","의심을 해소한 상태
허상 장막을 약화하고 2페이즈 시작 시 권위를 감소시킴"
Type_Text_51_05,"Phase 1: Strengthen next skill, then remove
Phase 2: +1 at enemy turn start,
strengthen attack skills, then -1","1フェーズ：次のスキルを強化後、解除
2フェーズ：敵ターン開始時に +1、
攻撃スキルを強化後、-1","1페이즈: 최대 {0}, 다음 스킬을 강화한 후 제거
2페이즈: 최대 {1}, 적 턴 시작 시 1 증가,
공격 스킬을 강화 후 1 감소"
